Timestamp, Message
2023/04/05 09:48:39,Refined scan successfully copied to preview mats in 1.0072 milliseconds.
2023/04/05 09:48:39,GameEvent raised: AcceptScan
2023/04/05 09:48:39,GameEvent raised: ScanAdded
2023/04/05 09:48:39,GameEvent raised: UploadComplete
2023/04/05 09:48:40,GameEvent raised: On Begin Scan
2023/04/05 09:48:40,Refined scan thread successfully created and executed in 314.966 milliseconds.
2023/04/05 09:48:40,GameEvent raised: NewPreview
2023/04/05 09:48:40,Refined scan successfully copied to preview mats in 0.9954 milliseconds.
2023/04/05 09:48:40,GameEvent raised: AcceptScan
2023/04/05 09:48:40,GameEvent raised: ScanAdded
2023/04/05 09:48:40,GameEvent raised: UploadComplete
2023/04/05 09:48:41,GameEvent raised: On Begin Scan
2023/04/05 09:48:41,Refined scan thread successfully created and executed in 310.4554 milliseconds.
2023/04/05 09:48:41,GameEvent raised: NewPreview
2023/04/05 09:48:41,Refined scan successfully copied to preview mats in 1.9976 milliseconds.
2023/04/05 09:48:41,GameEvent raised: AcceptScan
2023/04/05 09:48:41,GameEvent raised: ScanAdded
2023/04/05 09:48:41,GameEvent raised: UploadComplete
2023/04/05 09:48:42,GameEvent raised: On Begin Scan
2023/04/05 09:48:42,Refined scan thread successfully created and executed in 315.0948 milliseconds.
2023/04/05 09:48:42,GameEvent raised: NewPreview
2023/04/05 09:48:42,Refined scan successfully copied to preview mats in 1.9996 milliseconds.
2023/04/05 09:48:42,Resetting timeout to 9:48:57 AM
2023/04/05 09:48:42,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 2851; shouldBePlaying: True; saved webCamTextureID: -376; current ID: -376; lastUpdateCount: 2401
2023/04/05 09:48:42,GameEvent raised: AcceptScan
2023/04/05 09:48:42,GameEvent raised: ScanAdded
2023/04/05 09:48:42,GameEvent raised: UploadComplete
2023/04/05 09:48:43,GameEvent raised: On Begin Scan
2023/04/05 09:48:43,Refined scan thread successfully created and executed in 299.8954 milliseconds.
2023/04/05 09:48:43,GameEvent raised: NewPreview
2023/04/05 09:48:43,Refined scan successfully copied to preview mats in 2.0153 milliseconds.
2023/04/05 09:48:44,GameEvent raised: AcceptScan
2023/04/05 09:48:44,GameEvent raised: ScanAdded
2023/04/05 09:48:44,GameEvent raised: UploadComplete
2023/04/05 09:48:57,Resetting timeout to 9:49:12 AM
2023/04/05 09:48:57,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 3253; shouldBePlaying: True; saved webCamTextureID: -376; current ID: -376; lastUpdateCount: 2851
2023/04/05 09:49:12,Resetting timeout to 9:49:27 AM
2023/04/05 09:49:12,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 3704; shouldBePlaying: True; saved webCamTextureID: -376; current ID: -376; lastUpdateCount: 3253
2023/04/05 09:49:27,Resetting timeout to 9:49:42 AM
2023/04/05 09:49:27,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 4154; shouldBePlaying: True; saved webCamTextureID: -376; current ID: -376; lastUpdateCount: 3704
2023/04/05 09:49:42,Resetting timeout to 9:49:57 AM
2023/04/05 09:49:42,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 4604; shouldBePlaying: True; saved webCamTextureID: -376; current ID: -376; lastUpdateCount: 4154
2023/04/05 09:49:57,Resetting timeout to 9:50:12 AM
2023/04/05 09:49:57,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 5054; shouldBePlaying: True; saved webCamTextureID: -376; current ID: -376; lastUpdateCount: 4604
2023/04/05 09:50:12,Resetting timeout to 9:50:27 AM
2023/04/05 09:50:12,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 5504; shouldBePlaying: True; saved webCamTextureID: -376; current ID: -376; lastUpdateCount: 5054
2023/04/05 09:50:27,Resetting timeout to 9:50:42 AM
2023/04/05 09:50:27,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 5955; shouldBePlaying: True; saved webCamTextureID: -376; current ID: -376; lastUpdateCount: 5504
2023/04/05 09:50:42,Resetting timeout to 9:50:57 AM
2023/04/05 09:50:42,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 6405; shouldBePlaying: True; saved webCamTextureID: -376; current ID: -376; lastUpdateCount: 5955
2023/04/05 09:50:45,Opening attract...
2023/04/05 09:50:47,Closing attract...
2023/04/05 09:50:49,Quit application via 'Escape' key.
2023/04/05 09:50:49,Application Quit
2023/04/05 09:50:49,Releasing resources...
2023/04/05 09:50:49,OnWebCamTextureToMatHelperDisposed
2023/04/05 09:54:32,Application Awake - version #2023.1.18
2023/04/05 09:54:32,Primary Display    App (screen dims): 1920 x 1080 (1.777778)   "Current Resolution": 1920 x 1080   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/04/05 09:54:32,Activated second display.   Rendering Res: 1920 x 1080   System Res: 1920 x 1080
2023/04/05 09:54:32,Opening attract...
2023/04/05 09:54:33,GameEvent raised: CloseAllWindows
2023/04/05 09:54:33,GameEvent raised: MuralPositionsLoaded
2023/04/05 09:54:33,GameEvent raised: ConfigLoaded
2023/04/05 09:54:33,Initializing from myWebCamTextureToMatHelper...
2023/04/05 09:54:33,Successfully found correct camera.
2023/04/05 09:54:33,NEW webCamTexture ID: -276
2023/04/05 09:54:33,NEW webCamTexture width: 16
2023/04/05 09:54:33,NEW webCamTexture height: 16
2023/04/05 09:54:33,Resetting update count...
2023/04/05 09:54:33,Setting should be playing to true...
2023/04/05 09:54:33,WebCamTextureToMatHelper: Devicename:HD Pro Webcam C920 name: width:640 height:480 fps:60 videoRotationAngle:0 videoVerticallyMirrored:False isFrongFacing:True
2023/04/05 09:54:33,Calling OnWebCamTextureToMatHelperInitialized...
2023/04/05 09:54:33,OnWebCamTextureToMatHelperInitialized. Screen.width 1920 Screen.height 1080 Screen.orientation Portrait
2023/04/05 09:54:33,GameEvent raised: WebcamTextureToMatHelperInitialized
2023/04/05 09:54:33,Resetting update count...
2023/04/05 09:54:33,GameEvent raised: WindowsRefreshed
2023/04/05 09:54:33,GameEvent raised: CloseAllWindows
2023/04/05 09:54:33,Starting app...
2023/04/05 09:54:33,GameEvent raised: Attract
2023/04/05 09:54:33,GameEvent raised: NonScanWindowIsIn
2023/04/05 09:54:33,Webcam pausing...
2023/04/05 09:54:33,Resetting update count...
2023/04/05 09:54:33,Setting should be playing to false...
2023/04/05 09:54:45,Closing attract...
2023/04/05 09:55:04,GameEvent raised: CloseAllWindows
2023/04/05 09:55:04,GameEvent raised: ScanWindow
2023/04/05 09:55:04,GameEvent raised: Start Click
2023/04/05 09:55:04,GameEvent raised: ScanWindowIsIn
2023/04/05 09:55:04,Webcam playing...
2023/04/05 09:55:04,Resetting update count...
2023/04/05 09:55:04,Setting should be playing to true...
2023/04/05 09:55:05,GameEvent raised: On Begin Scan
2023/04/05 09:55:22,Resetting timeout to 9:55:37 AM
2023/04/05 09:55:22,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 532; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: -1
2023/04/05 09:55:37,Resetting timeout to 9:55:52 AM
2023/04/05 09:55:37,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 982; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 532
2023/04/05 09:55:52,Resetting timeout to 9:56:07 AM
2023/04/05 09:55:52,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 1391; shouldBePlaying: True; saved webCamTextureID: -276; current ID: -276; lastUpdateCount: 982
2023/04/05 09:56:07,Resetting timeout to 9:56:22 AM
